gsmc,gzdd,gxsj,zwmc,zwyx
深圳维恩贝特科技股份有限公司,北京,12-16,Cobol主机工程师,10001-15000
北京昆仑联通科技发展股份有限公司,北京,12-16,微软UC工程师,10000-20000
北京云途腾科技有限责任公司,北京,12-16,高级软件测试工程师,15001-20000
北京思创贯宇科技开发有限公司,北京,12-16,数据挖掘算法工程师,10001-15000
北京溥沅科技有限公司,北京 - 海淀区,12-16,急招中高级UI设计师,10001-15000
清研讯科(北京)科技有限公司,北京,12-16,系统集成工程师,8001-10000
北京博达远创科技发展有限公司,北京,12-16,银行软件开发实训工程师,6001-8000
中软卓越,北京,12-16,华为业务线-JAVA实习生,4001-6000
北京旭日神州科技有限公司,北京,12-16,python开发工程师,8001-10000
华北计算技术研究所,北京,12-16,.net工程师,8001-10000
阳光暖果(北京)科技发展有限公司,北京,12-16,C#（WPF）开发工程师,8000-16000
北京惠泽智信科技有限公司,北京,12-16,图像识别技术高级工程师,20001-30000
中智财务咨询有限公司,北京,12-16,Java开发、运维工程师,5000-10000
乐富支付有限公司,北京,12-16,java工程师,15001-20000
上海汉得信息技术股份有限公司,北京,12-16,设备互联顾问,8000-15000
北京博达远创科技发展有限公司,北京 - 海淀区,12-16,java程序员（可实习）,4001-6000
郑州一迅软件科技有限公司,北京,12-16,Java软件工程师,7000-9000
北京心联网科技有限公司,北京,12-16,技术总监,20001-30000
北京法意科技有限公司,北京,12-16,java主管,15000-20000
华北计算技术研究所,北京,12-16,前端开发工程师,8001-10000
北京飞扬天下网络科技股份有限公司,北京 - 石景山区,12-16,数值策划,8001-10000
恒信大友(北京)科技有限公司,北京,12-16,需求分析工程师,8001-10000
北京华夏创新科技有限公司,北京,12-16,linux内核研发专家,20000-40000
北京信德睿尚企业管理咨询有限公司,北京,12-16,高级JAVA开发,20001-30000
中智诚征信有限公司,北京,12-16,软件开发工程师（Web 后端-上海工作）,15000-25000
北京信者科技有限公司,北京,12-16,C# 软件工程师,10001-15000
北京中科模识科技有限公司,北京 - 西城区,12-16,互联网数据管理服务工程师,6001-8000
中创晟业(北京)资本管理有限公司,北京,12-16,高级PHP开发工程师,10001-15000
北京思维鑫科信息技术有限公司,北京 - 丰台区,12-16,C#软件开发工程师（初、中级）,8001-10000
易智互联(北京)科技有限公司,北京,12-16,零基础前端人员实习生,4001-6000
北京飞流九天科技有限公司,北京,12-16,世界观策划（二次元）,10001-15000
北京燕麦互娱科技有限公司,北京,12-16,cocos2dx开发工程师,5000-10000
北京第一时间网络科技有限公司,北京,12-16,微信运营编辑,4001-6000
深圳知学云科技有限公司,北京 - 东城区,12-16,java开发工程师,10001-15000
北京老虎致远科技有限公司,北京 - 海淀区,12-16,数据挖掘工程师,20001-30000
北京水果堂网络科技有限公司,北京,12-16,剧情策划,9000-12000
北京九天互动软件有限公司,北京,12-16,游戏引擎开发,8000-16000
海航生态科技集团有限公司,北京 - 东城区,12-16,用户体验设计师,16000-32000
Esri中国信息技术有限公司,北京,12-16,地理大数据解决方案高级工程师,10001-15000
北京爱特泰克技术股份公司,北京 - 海淀区,12-16,中高级软件测试工程师,8001-10000
北京新流万联网络技术有限公司,北京,12-16,前端Web高级开发工程师,10001-15000
广东晋佑科技股份有限公司,北京 - 海淀区,12-16,资深web架构师（双休）,4001-6000
环球优学(北京)教育咨询有限公司,北京,12-16,UI设计师,10001-15000
北京悦华国际贸易有限公司,北京,12-16,美工设计师,6000-10000
北京蚁视科技有限公司,北京 - 海淀区,12-16,OpenGL研发工程师,10001-15000
北京预立教育就业网络技术有限公司,北京 - 昌平区,12-16,Java研发工程师,6001-8000
北京燕麦互娱科技有限公司,北京 - 通州区,12-16,C++服务端高级开发工程师(手机游戏）,20000-35000
赢时胜软件,北京,12-16,高级Java软件工程师（金融方向-上市公司）,15001-20000
建才(北京)信息技术有限公司,北京 - 海淀区,12-16,中关村.net开发工程师,8000-15000
融捷教育科技有限公司,北京,12-16,java工程师,10000-20000
北京超维创想信息技术有限公司,北京,12-16,GIS高级软件工程师,15001-20000
北京通铭教育科技股份有限公司,北京,12-16,Java高级软件工程师,15001-20000
北京闪银信息技术有限公司,北京,12-16,andriod开发工程师,1000元以下
聚众网通(北京)科技有限公司,北京,12-16,PHP工程师,10001-15000
北京展程科技有限公司,北京,12-16,Android工程师,8000-15000
北京燕麦互娱科技有限公司,北京,12-16,C＋＋开发工程师,15000-20000
北京中宜安忻医疗投资管理有限公司,北京 - 海淀区,12-16,java高级工程师,15001-20000
北京天华星航科技有限公司,北京 - 海淀区,12-16,分布式存储研发工程师,15001-20000
北京拓尔思信息技术股份有限公司,北京,12-16,C/C++软件开发工程师（文本挖掘）(实习生),4001-6000
北京远游科技有限公司,北京,12-16,Unity3D手游开发（图形编程）,15001-20000
北京网智天元科技股份有限公司,北京 - 西城区,12-16,中级JAVA开发工程师,8001-10000
北京橙奇信息技术有限公司,北京,12-16,高级ASP.NET开发工程师,10001-15000
北京神州泰岳软件股份有限公司,北京,12-16,java开发工程师-信息技术公司-网络管理事业部-研发二部,8001-10000
深圳市迅雷网络技术有限公司,北京,12-16,WX-移动端流媒体开发,15001-20000
赢时胜软件,北京,12-16,JAVA开发工程师（上市公司-金融软件-自主产品）,10001-15000
亿合福(北京)科技有限公司,北京,12-16,C语言软件开发实习生,6001-8000
暴风影音,北京,12-16,hbuilder前端工程师,10001-15000
北京大公网科技有限公司,北京 - 朝阳区,12-16,前端开发工程师,8001-10000
冀源企业管理咨询有限公司,北京 - 西城区,12-16,高薪诚聘安卓开发工程师,10001-15000
智联招聘北京招聘信息平台,北京,12-16,.NET开发工程师（ASP.NET C#）,10001-15000
中移物联网有限公司 ,北京,12-16,前端开发工程师--北京驻点,8001-10000
阿里巴巴集团,北京,12-16,友盟-数据开发工程师-DMP方向,面议
阿里巴巴集团,北京,12-16,神马搜索-资深C++研发工程师-广告系统,面议
阿里巴巴集团,北京,12-16,神马搜索-UC头条推荐算法工程师-（C++方向）,面议
阿里巴巴集团,北京,12-16,神马搜索-UC头条高级测试开发工程师,面议
湖南凯润星云网络技术有限公司,北京,12-16,JAVA研发工程师（北京）,10001-15000
北京智通博瑞科技发展有限公司,北京 - 丰台区,12-16,.net工程师,8000-15000
智联招聘北京招聘信息平台,北京,12-16,软件工程师（C#中级）,8001-10000
智联招聘北京招聘信息平台,北京,12-16,网站工程师,8001-10000
深圳市第一企业管理咨询有限公司,北京,12-16,前端工程师（工作地点：马来西亚、菲律宾或泰国）,20001-30000
深圳市第一企业管理咨询有限公司,北京,12-16,"音/视频开发工程师,C/C++（马来西亚、菲律宾或泰国）",15001-20000
深圳市第一企业管理咨询有限公司,北京,12-16,UI设计师（工作地点：马来西亚、菲律宾或泰国）,15001-20000
上海盛卓贸易有限公司,北京 - 昌平区,12-16,急急急！聘ui界面设计师（底薪6K起 五险一金 周末双休）,4001-6000
深圳市第一企业管理咨询有限公司,北京,12-16,C++服务器开发工程师(工作地点：泰国、马来西亚、菲律宾）,15001-20000
深圳市第一企业管理咨询有限公司,北京,12-16,PHP工程师（工作地点：菲律宾、马来西亚或泰国）,20001-30000
亚联创新科技有限责任公司,北京,12-16,软件开发工程师,10001-15000
亚联创新科技有限责任公司,北京,12-16,高级需求分析师,15001-20000
上海盛卓贸易有限公司,北京 - 海淀区,12-16,急急急！聘ui界面设计师（底薪6K起 五险一金 周末双休）,4001-6000
赢桥软件开发有限公司,北京 - 海淀区,12-16,iOS手机软件工程师 $底薪8000+绩效+奖金+iMac苹果办公+弹性打卡$,4001-6000
爱尚游(北京)科技股份有限公司,北京,12-16,WEB前端开发,4001-6000
北京泊松技术有限公司,北京 - 海淀区,12-16,无人机嵌入式软件开发工程师DSP、ARM,10001-15000
北京泊松技术有限公司,北京 - 海淀区,12-16,计算机视觉算法开发,10001-15000
北京泊松技术有限公司,北京 - 海淀区,12-16,无人机飞控开发程序员/c++,10001-15000
亚联创新科技有限责任公司,北京,12-16,高级需求分析师,15001-20000
爱尚游(北京)科技股份有限公司,北京,12-16,WEB前端开发,4001-6000
北京神州航宇测控技术有限公司,北京 - 丰台区,12-16,Qt软件工程师,10001-15000
北京神州航宇测控技术有限公司,北京 - 丰台区,12-16,C/C++高级软件工程师,10001-15000
赢桥软件开发有限公司,北京 - 朝阳区,12-16,网页设计/制作/美工$底薪4500+绩效+奖金+iMac苹果办公+弹性打卡$,4001-6000
泰康在线财产保险股份有限公司,北京 - 昌平区,12-16,系统设计（数据方向）,10001-15000
北京中科新天科技有限公司,北京,12-16,高级软件工程师（Java Web全栈工程师）,15001-25000
北京中科新天科技有限公司,北京,12-16,初级软件工程师（Java Web全栈工程师）,6001-8000
北京华捷艾米科技有限公司,北京 - 海淀区,12-16,语音识别语言模型研发工程师,20000-40000
北京极地加科技有限公司,北京,12-16,PHP开发工程师,10000-20000
北京极地加科技有限公司,北京,12-16,大数据开发工程师（JAVA）,14000-28000
北京搜贷天下网络技术有限公司,北京 - 海淀区,12-16,Web前端工程师,20001-30000
北京凯英信业科技股份有限公司,北京 - 海淀区,12-16,高级Java工程师,10001-15000
北京柯锐特信息技术有限公司,北京,12-16,Android工程师,10001-15000
洪业(北京)工程技术研究院有限公司,北京,12-16,软件工程师,15001-20000
北京柯锐特信息技术有限公司,北京,12-16,高级UI设计师,10001-15000
达闼科技(北京)有限公司,北京,12-16,Linux C/C++实习生,4000-7000
北京联讯欣烨科技有限公司,北京,12-16,需求分析工程师,10001-15000
浪潮集团有限公司 ,北京,12-16,售前工程师,20000-25000
北京蚂蚁宝宝移动科技有限公司,北京 - 海淀区,12-16,Java开发工程师,15001-20000
北京康得新复合材料股份有限公司,北京 - 朝阳区,12-16,C#开发工程师,10001-15000
北京安锐卓越信息技术股份有限公司,北京 - 朝阳区,12-16,.NET开发工程师,8001-10000
北大方正集团,北京,12-16,web 前端,30001-50000
能力天空科技(北京)有限公司,北京 - 海淀区,12-16,C++工程师,10001-15000
能力天空科技(北京)有限公司,北京 - 海淀区,12-16,c++高级开发工程师,15001-20000
北京尚博信科技有限公司,北京 - 海淀区,12-16,.net开发工程师,10001-15000
北京柯锐特信息技术有限公司,北京,12-16,java开发工程师,10001-15000
北京柯锐特信息技术有限公司,北京,12-16,JAVA,10001-15000
中钞格尔智能卡科技(上海)有限公司,北京,12-16,实施工程师,4001-6000
光明中金文化传媒有限公司,北京 - 海淀区,12-16,软件测试经理,15001-20000
北京汇商融通信息技术有限公司,北京,12-16,数据挖掘工程师,19000-38000
吉贝克信息技术（北京）有限公司,北京,12-16,ETL工程师,8001-10000
吉贝克信息技术（北京）有限公司,北京,12-16,需求分析师,10001-15000
北京卓因达科技有限公司,北京,12-16,实习软件工程师,8001-10000
北京卓因达科技有限公司,北京,12-16,软件开发工程师,8001-10000
北京中科联诚软件股份有限公司,北京,12-16,需求分析工程师,10000-20000
北京威速科技有限公司,北京 - 海淀区,12-16,Android手机端程序工程师,10001-15000
北京英泰智科技股份有限公司,北京,12-16,FPGA工程师,10001-15000
诺远科技发展有限公司,北京,12-16,PHP开发工程师,10001-15000
北京秦枫古典文化发展有限公司,北京 - 海淀区,12-16,交互设计师（UE/UX）,8001-10000
北明软件,北京,12-16,ETL开发工程师,12000-20000
北明软件,北京,12-16,数据库开发工程师,10001-15000
北京飞牛在天科技有限公司,北京 - 朝阳区,12-16,Web前端主管 Angular,25000-40000
北京飞牛在天科技有限公司,北京 - 朝阳区,12-16,java开发工程师,10000-18000
北京沃赢科技有限公司,北京 - 海淀区,12-16,PHP高级工程师,20001-30000
北京沃赢科技有限公司,北京 - 海淀区,12-16,JAVA架构师,20001-30000
北京搜贷天下网络技术有限公司,北京 - 海淀区,12-16,高级Java工程师,20000-35000
北京书生电子技术有限公司,北京,12-16,JAVA工程师,9000-18000
北京证大向上金融信息服务有限公司,北京,12-16,测试工程师,10000-15000
林德(中国)叉车有限公司,北京,12-16,SAP高级顾问（Basis）-厦门,8000-15000
诺远科技发展有限公司,北京,12-16,测试工程师,10001-15000
北京万维盈创科技发展有限公司,北京 - 昌平区,12-16,高级嵌入式软件开发工程师（linux C开发）,10001-15000
北京恒光信息技术股份有限公司,北京,12-16,C语言应用开发工程师（数据通信、Socket开发）,10001-15000
北京恒光信息技术股份有限公司,北京,12-16,C开发（交换芯片开发、熟悉博通SDK、二层交换）,15001-20000
北京合思信息咨询有限公司,北京,12-16,高级Java研发工程师,20001-30000
北京飞牛在天科技有限公司,北京 - 朝阳区,12-16,高级java工程师,15000-25000
DCCI互联网数据中心,北京 - 朝阳区,12-16,.net技术工程师,6001-8000
诺远科技发展有限公司,北京,12-16,高级产品经理,20001-30000
北京云端时代科技股份有限公司,北京,12-16,linux研发工程师,8001-10000
北京霄飞科技有限公司,北京,12-16,java高级工程师,15001-20000
北京金商祺科技股份有限公司,北京,12-16,IOS开发工程师,10001-15000
上海汉得信息技术股份有限公司,北京,12-16,高级 MES 技术顾问,8000-16000
汽车之家 ,北京 - 海淀区,12-16,搜索前端研发工程师(实习),1000元以下
汽车之家 ,北京 - 海淀区,12-16,数据挖掘工程师,1000元以下
北京云图智联教育科技有限责任公司,北京,12-16,工作流平台 .NET开发工程师,10001-15000
北京育灵童科技发展有限公司,北京 - 海淀区,12-16,PHP工程师,10001-15000
北京云图智联教育科技有限责任公司,北京 - 昌平区,12-16,大数据开发工程师,15001-20000
北京安控科技股份有限公司,北京,12-16,研发认证工程师,10001-15000
汽车之家 ,北京 - 海淀区,12-16,前端技术专家,20001-30000
汽车之家 ,北京 - 海淀区,12-16,大数据可视化开发工程师,20001-30000
北京浩普诚华科技有限公司,北京,12-16,高级网络工程师,15001-20000
北京麦迪克斯科技有限公司,北京,12-16,高级软件工程师 C++ （研发项目经理）,15001-20000
汽车之家 ,北京 - 海淀区,12-16,hadoop高级研发工程师,20001-30000
北京云图智联教育科技有限责任公司,北京,12-16,Python开发工程师,10001-15000
北京云图智联教育科技有限责任公司,北京,12-16,视频版权JAVA开发工程师,10001-15000
北京中企信恒登记注册代理事务所,北京 - 丰台区,12-16,JAVA/jsp程序员/工程师/网站建设,10001-15000
北京力众华援技术服务有限公司,北京,12-16,数据专员,6000-10000
北京锐宇博图科技有限公司,北京,12-16,gis工程师(java方向),5000-10000
北京博富瑞基因诊断技术有限公司,北京 - 大兴区,12-16,高级JAVA程序员,面议
亿海蓝(船讯网),北京 - 海淀区,12-16,Java高级开发工程师,15000-25000
北京建工集团有限责任公司,北京,12-16,软件工程师,8001-10000
矽通瑞达科技(北京)有限责任公司,北京 - 海淀区,12-16,JAVA工程师,10001-15000
北京金尚互联科技股份有限公司,北京 - 海淀区,12-16,web前端工程师,10001-15000
石化盈科信息技术有限责任公司,北京,12-16,高级开发经理,10001-15000
国美电器有限公司 ,北京,12-16,餐饮平面设计主管,6001-8000
梨花科技(北京)有限公司,北京,12-16,Java开发工程师,8000-15000
大连华信计算机技术股份有限公司 ,北京,12-16,Domino中级开发工程师,8001-10000
北京溥沅科技有限公司,北京 - 海淀区,12-16,急聘 - WEB前端H5开发方向,8000-13000
亚联创新科技有限责任公司,北京,12-16,界面（UI）设计师,4001-6000
华夏航空有限公司重庆分公司,北京,12-16,研发维护主管-供应链方向,8001-10000
朗致集团有限公司,北京,12-16,Java开发工程师（NC方向）,8000-15000
亚联创新科技有限责任公司,北京,12-16,中高级云平台研发工程师,8000-12000
亚联创新科技有限责任公司,北京,12-16,初级ABAP顾问（应届生）,6001-8000
用友网络科技股份有限公司,北京,12-16,高级UI设计师,18000-30000
北京中农信达信息技术有限公司,北京 - 海淀区,12-16,C#高级开发工程师（gis）,10000-20000
北京中农信达信息技术有限公司,北京,12-16,大数据开发工程师,10000-20000
北京并行科技股份有限公司,北京,12-16,前端开发工程师（Web）,3000-5000
武汉时光机科技有限公司,北京,12-16,网络推广专员,6001-8000
武汉时光机科技有限公司,北京,12-16,java初级工程师—双休+五险+餐补+交通补助,6001-8000
北京大基康明医疗设备有限公司,北京 - 大兴区,12-16,软件工程师（熟悉C语言/C++）,10001-15000
矽通瑞达科技(北京)有限责任公司,北京,12-16,JAVA工程师,10001-15000
北京拇指互联科技有限公司,北京,12-16,网站设计,4001-6000
泛微北京,北京,12-16,android开发工程师,10001-15000
摩森教育科技,北京 - 朝阳区,12-16,Web前端开发工程师,4001-6000
泛微北京,北京,12-16,iOS开发工程师（北京）,10001-15000
北京亿诚森管理咨询有限公司,北京,12-16,UI设计师/平面设计师,6001-8000
北京突破电气有限公司,北京 - 丰台区,12-16,高级嵌入式软件工程师,15001-20000
恒润科技,北京 - 海淀区,12-16,系统建模咨询工程师,10001-15000
华夏融创投资(北京)有限公司,北京,12-16,JAVA开发工程师,12000-18000
为明教育集团,北京 - 海淀区,12-16,c++开发工程师,15001-20000
悦康动力(北京)科技有限公司,北京 - 海淀区,12-16,Python中级开发工程师,10001-15000
北京拓普丰联信息工程有限公司,北京,12-16,大数据分析师（智慧城市方向）,15000-20000
北京拓普丰联信息工程有限公司,北京,12-16,高级数据分析师(北京）,20000-30000
泛微北京,北京,12-16,ORACLE ERP技术顾问,15001-20000
泛微北京,北京,12-16,java工程师(北京）,6001-8000
泛微北京,北京,12-16,Java开发工程师,6000-10000
小能科技(北京)有限公司,北京,12-16,JS前端开发工程师,10001-15000
华软互联(北京)科技有限公司,北京,12-16,java开发工程师,6001-8000
北京天天发发广告传媒有限公司,北京 - 海淀区,12-16,APP产品经理,10001-15000
北京掌上明珠科技股份有限公司,北京 - 朝阳区,12-16,游戏 UI设计师,8001-10000
北京中科大洋科技发展股份有限公司,北京 - 海淀区,12-16,Java研发工程师,10001-15000
央广新媒体文化传媒(北京)有限公司,北京,12-16,php开发工程师,10001-15000
北京乐盟互动科技有限公司,北京 - 海淀区,12-16,OpenGL开发工程师,13000-15000
北京中科大洋科技发展股份有限公司,北京,12-16,Java研发工程师-大洋信息,8001-10000
北京永卓利商务咨询有限公司,北京,12-16,平台架构师,30001-50000
北京裔联科技发展有限公司,北京,12-16,安卓系统构架工程师,10001-15000
可可家里(北京)信息技术有限公司,北京 - 石景山区,12-16,高级java开发工程师,15001-20000
可可家里(北京)信息技术有限公司,北京 - 石景山区,12-16,架构师,30000-40000
北京全融信息服务有限公司,北京,12-16,Java开发工程师,10001-15000
北京永卓利商务咨询有限公司,北京,12-16,Android架构师,30001-50000
北京永卓利商务咨询有限公司,北京 - 朝阳区,12-16,资深c++软件开发 810,20001-30000
北京建设数字科技股份有限公司,北京,12-16,.Net研发工程师,6001-8000
北京深思数盾科技股份有限公司,北京,12-16,java开发工程师(七险一金，待遇好）,15001-20000
北京蓝色星际软件技术发展有限公司,北京,12-16,高级嵌入式开发工程师（带团队+Linux+六险一金+紧邻地铁）,15000-20000
中软国际科技服务有限公司深圳分公司,北京,12-16,C语言开发工程师,面议
武汉时光机科技有限公司,北京,12-16,WEB前端开发 五险一金+双休+餐补+交通补助,6001-8000
武汉时光机科技有限公司,北京,12-16,产品经理（可培养）月薪一万 双休,10001-15000
北京瑞森同升商贸有限责任公司,北京 - 丰台区,12-16,H5前端开发工程师,8001-10000
汇中利通投资管理(北京)有限公司,北京 - 朝阳区,12-16,MySQL数据库工程师,13000-20000
北京万古科技股份有限公司,北京,12-16,北京分公司-研发部-研发-工程师,10001-15000
太原三才企业管理有限公司,北京,12-16,产品架构师,6001-8000
武汉时光机科技有限公司,北京,12-16,新媒体运营专员,4001-6000
为明教育集团,北京 - 海淀区,12-16,.net软件开发工程师,8000-15000
盈泰高科(北京)信息技术有限公司,北京,12-16,计算机维护工程师,4001-6000
北京欧美华医院有限公司,北京,12-16,程序员,6001-8000
北京有初科技有限公司,北京,12-16,算法工程师,30001-50000
恒润科技,北京 - 海淀区,12-16,ADAS产品系统工程师,10001-15000
恒润科技,北京 - 海淀区,12-16,软件工程咨询工程师,10001-15000
北京溥沅科技有限公司,北京 - 海淀区,12-16,JAVA工程师,8001-10000
北京溥沅科技有限公司,北京 - 海淀区,12-16,JAVA工程师,10001-15000
恒润科技,北京 - 海淀区,12-16,c#软件工程师,10001-15000
北京汇文立业文化传播有限公司,北京 - 朝阳区,12-16,PHP工程师 PHP,12000-17000
深圳市奥哲科技有限公司,北京,12-16,技术经理(ASP.NET开发),8000-10000
北京音泰思计算机技术有限公司,北京,12-16,Web前端开发工程师,8001-10000
北京交大微联科技有限公司,北京 - 海淀区,12-16,联锁初级研发工程师,6001-8000
河北云酷科技有限公司,北京,12-16,软件研发工程师（java ）,4001-6000
北京银河长兴影视文化传播股份有限公司,北京,12-16,JAVA开发工程师,10001-15000
北京华夏乐游科技有限公司,北京,12-16,游戏场景原画师,15000-25000
北京华夏乐游科技有限公司,北京,12-16,游戏特效设计师,12000-24000
北京华夏乐游科技有限公司,北京 - 海淀区,12-16,cocos2d-x手游研发主程序,15000-30000
华夏龙晖(北京)汽车电子科技股份有限公司,北京 - 昌平区,12-16,中级软件工程师,8000-15000
福建星瑞格软件有限公司,北京,12-16,数据库迁移工程师,6000-12000
北京交大微联科技有限公司,北京 - 海淀区,12-16,联锁设计工程师,6001-8000
北京金储自动化技术有限公司,北京 - 海淀区,12-16,嵌入式软件工程师,8001-10000
信雅达系统工程股份有限公司,北京,12-16,Java开发工程师,7000-10000
北京华夏乐游科技有限公司,北京,12-16,游戏美术实习生,3000-6000
北京华夏乐游科技有限公司,北京,12-16,游戏主策划,15000-25000
北京华夏乐游科技有限公司,北京,12-16,Cocos2d-x游戏主程,20000-30000
地壳(北京)机器人科技有限公司,北京,12-16,前端工程师,4000-6000
河南山香教育咨询有限公司,北京 - 海淀区,12-16,前端工程师,8000-12000
北京创造力教育科技有限公司,北京 - 海淀区,12-16,java开发工程师,8000-15000
中软信息服务有限公司,北京 - 海淀区,12-16,高级Java开发工程师,15000-25000
中科软科技股份有限公司,北京,12-16,iOS开发工程师,6001-8000
北京华源格林科技有限公司,北京,12-16,售前工程师,8000-11000
北京海兰信数据科技股份有限公司,北京,12-16,高级C++软件工程师,10000-20000
北京新联铁集团股份有限公司,北京 - 海淀区,12-16,软件工程师（上位机软件）,8000-15000
融创汇鑫(北京)国际投资管理有限公司,北京,12-16,CBD商业区 金融交易员操盘手 8000起+提成+双休 零基础可培训,10001-15000
天际通联(北京)科技有限公司,北京,12-16,软件工程师,8001-10000
北京国能互联信息技术有限公司,北京 - 海淀区,12-16,java工程师,10000-15000
北京国能互联信息技术有限公司,北京,12-16,高级java工程师,12000-20000
汉柏科技有限公司,北京 - 朝阳区,12-16,Java开发工程师（模式识别）,10001-15000
北京中交兴路信息科技有限公司,北京,12-16,大数据挖掘工程师,20001-30000
北京北航天宇长鹰无人机科技有限公司,北京 - 海淀区,12-16,嵌入式软件设计师,10001-15000
智慧互通科技有限公司,北京 - 海淀区,12-16,知识产权工程师,15001-20000
远特(北京)通信技术有限公司,北京,12-16,研发高级工程师,10001-15000
北京通铭教育科技股份有限公司,北京,12-16,Java开发工程师,15001-20000
北京通铭教育科技股份有限公司,北京,12-16,java软件工程师,15001-20000
北京中软联动科技有限公司,北京,12-16,Domino开发工程师,10001-15000
中电普信（北京）科技发展有限公司,北京,12-16,通信、雷达仿真领域专家,15000-25000
北京金山安全管理系统技术有限公司,北京,12-16,样本分析工程师,8001-10000
北京金山安全管理系统技术有限公司,北京,12-16,Linux高级开发工程师,15001-20000
新疆路上文化餐饮有限责任公司,北京 - 朝阳区,12-16,Android软件开发工程师,10000-20000
新疆路上文化餐饮有限责任公司,北京,12-16,C++高级工程师,15000-25000
西山居多盈(北京)科技有限公司,北京,12-16,游戏制作人,20001-30000
西山居多盈(北京)科技有限公司,北京,12-16,文案剧情策划,10001-15000
北京熠宸信息科技有限公司,北京,12-16,JAVA软件工程师,8001-10000
北京熠宸信息科技有限公司,北京 - 海淀区,12-16,Android工程师,10001-15000
达疆网络科技(上海)有限公司,北京,12-16,IOS开发工程师（应届）,10001-15000
福建福昕软件开发股份有限公司北京分公司,北京,12-16,c++开发工程师（技术部）,9000-12000
北京星辰美豆文化传播有限公司,北京,12-16,软件开发工程师（Android）,10000-20000
北京庄和投资管理有限公司,北京,12-16,产品设计师（网络科技公司）,面议
易和元通(北京)国际教育科技有限公司,北京,12-16,软件工程师,6001-8000
巴士在线科技有限公司成都分公司,北京,12-16,JAVA工程师,15001-20000
巴士在线科技有限公司成都分公司,北京,12-16,UI设计师,10001-15000
上海中谷小金金融信息服务有限公司,北京,12-16,java工程师（非外包，五险一金，弹性工作时间）,10001-15000
上海中谷小金金融信息服务有限公司,北京,12-16,高级java工程师（五险一金，晋升快）,15001-20000
北京华云网际科技有限公司,北京 - 海淀区,12-16,研发工程师,10001-15000
北京乐驾科技有限公司,北京,12-16,安卓系统软件工程师,15001-20000
安润金融信息服务(北京)有限公司,北京 - 西城区,12-16,Java开发高级工程师,10001-15000
奥美家星际传媒(北京)有限公司,北京 - 朝阳区,12-16,游戏前端程序,10001-15000
苏州蓝海彤翔系统科技有限公司,北京 - 朝阳区,12-16,java高级开发工程师,15001-20000
星河互联集团有限公司,北京,12-16,Java开发工程师(LY),10001-15000
北京中安星云软件技术有限公司,北京,12-16,数据库安全开发工程师,8001-10000
北京奇客创想信息技术有限公司,北京,12-16,Unity3D客户端工程师,10000-20000
北京奇客创想信息技术有限公司,北京,12-16,C++开发工程师（2017年校招岗位 接收17年应届毕业生）,8000-12000
伟业我爱我家集团,北京,12-16,高级Java工程师,15001-20000
北京思路创新科技有限公司,北京 - 海淀区,12-16,大气模型建模工程师dq,6000-10000
北京熠宸信息科技有限公司,北京 - 海淀区,12-16,.net工程师,10001-15000
达疆网络科技(上海)有限公司,北京,12-16,java研发工程师,20001-30000
达疆网络科技(上海)有限公司,北京,12-16,web前端研发工程师,20001-30000
奥美家星际传媒(北京)有限公司,北京 - 朝阳区,12-16,游戏主程,15001-20000
北京新岸线移动多媒体技术有限公司,北京,12-16,Linux驱动-高级软件工程师,15000-25000
星河互联集团有限公司,北京,12-16,Android开发工程师,15001-20000
中电普信（北京）科技发展有限公司,北京,12-16,高级C++开发工程师,15000-25000
东华博雅软件有限公司,北京 - 朝阳区,12-16,.net开发工程师,10001-15000
东华博雅软件有限公司,北京 - 朝阳区,12-16,HTML5工程师,10001-15000
北京新岸线移动多媒体技术有限公司,北京,12-16,高级测试工程师,10001-15000
北京中安星云软件技术有限公司,北京,12-16,数据库产品测试工程师,8001-10000
柏邦蒲仕 CBC Services,北京,12-16,搜索引擎架构研发工程师,50001-70000
北京奇客创想信息技术有限公司,北京,12-16,C++开发工程师,8000-14000
北京瑞金麟网络技术服务有限公司,北京,12-16,资深网页设计师（瑞金麟子公司）,8001-10000
北京奇客创想信息技术有限公司,北京,12-16,游戏界面UI设计师,8001-10000
中电达通数据技术股份有限公司,北京,12-16,IOS开发工程师,8001-10000
北京中科软科技有限公司,北京 - 海淀区,12-16,需求分析师,10001-15000
北京中科软科技有限公司,北京,12-16,java开发工程师(技术经理或者项目经理培养方向),10001-15000
北京金山安全管理系统技术有限公司,北京,12-16,windows客户端研发工程师,10001-15000
上海鑫磊信息技术有限公司北京办事处,北京,12-16,系统架构师,20001-30000
北京嘉美学教育咨询有限公司,北京,12-16,编辑/美工,4001-6000
优购科技有限公司,北京 - 朝阳区,12-16,网页设计师,8001-10000
达疆网络科技(上海)有限公司,北京,12-16,java研发工程师（供应链方向）,20001-30000
北京爱种网络科技有限公司,北京 - 朝阳区,12-16,JAVA开发工程师,6001-8000
北京神舟航天软件技术有限公司,北京,12-16,平台开发经理-znzz49,12500-24999
北京神舟航天软件技术有限公司,北京,12-16,用户体验经理-gcxxh19,20000-30000
携程计算机技术(上海)有限公司 ,北京 - 海淀区,12-16,Python开发工程师,15001-20000
北京神舟航天软件技术有限公司,北京,12-16,产品架构师(企业大数据软件方向)-gcxxh24,20001-30000
